scheme,model,available_aircraft,used_aircraft,peak_simultaneous_aircraft,sorties,delivered_kg,average_kg_per_sortie,energy_kwh,occupied_hours,aircraft_occupancy_pct
28_earliest,A,4,4,4,14,207.0,14.785714285714286,31.662568594535685,7.073534552578526,86.60991501688764
28_earliest,B,2,2,2,8,177.0,22.125,18.00274894428116,4.034375069428744,98.79555385280482
28_earliest,C,2,2,2,6,374.0,62.333333333333336,27.394141477573605,3.3665348514025433,82.44118840843898
25_previous_efficient,A,4,4,4,10,155.0,15.5,24.024709067761297,5.372878360722735,64.20286356254282
25_previous_efficient,B,2,2,2,8,187.0,23.375,18.876190694576145,4.160801341221919,99.43845473002006
25_previous_efficient,C,2,2,2,7,416.0,59.42857142857143,31.196073649408298,3.8521028071347128,92.0609082696934
24_fast_efficient,A,4,4,4,9,155.0,17.22222222222222,21.946883621323245,4.884619792363205,58.36844927972762
24_fast_efficient,B,2,2,2,8,187.0,23.375,18.745216455383616,4.138481999129467,98.90504765137005
24_fast_efficient,C,2,2,2,7,416.0,59.42857142857143,31.196073649408298,3.8521028071347128,92.0609082696934
24_min_energy_same_finish,A,4,4,4,9,160.0,17.77777777777778,22.000144147066717,4.85775795366542,58.047465470088405
24_min_energy_same_finish,B,2,2,2,8,182.0,22.75,18.64833787036141,4.165869565609974,99.55957957113662
24_min_energy_same_finish,C,2,2,2,7,416.0,59.42857142857143,31.196073649408298,3.8521028071347128,92.0609082696934
23_balanced,A,4,4,4,10,177.0,17.7,22.341976981535616,5.08770598647444,59.74807945508982
23_balanced,B,2,2,2,6,148.0,24.666666666666668,15.771607257120111,3.4078128262541063,80.0401092564697
23_balanced,C,2,2,2,7,433.0,61.857142857142854,31.832980505555522,3.88876947380138,91.33645227177084
23_min_energy,A,4,4,4,8,143.0,17.875,17.243202414215165,4.0248178771888705,45.545340957112515
23_min_energy,B,2,2,2,8,182.0,22.75,20.029351911890224,4.353104156374618,98.52053885349099
23_min_energy,C,2,2,2,7,433.0,61.857142857142854,31.832980505555522,3.8887694738013803,88.01160052071766
22_low_sorties,A,4,4,3,7,122.0,17.428571428571427,14.828333369905371,3.4957227460246103,38.29353827358033
22_low_sorties,B,2,2,2,8,186.0,23.25,20.31911213804141,4.405805729578305,96.52589898522724
22_low_sorties,C,2,2,2,7,450.0,64.28571428571429,32.26982270149138,3.925436140468047,86.00157964841664
21_low_sorties,A,4,4,4,6,105.0,17.5,13.672843076865483,3.1558518533761433,34.5306806177305
21_low_sorties,B,2,2,2,8,186.0,23.25,20.31911213804141,4.405805729578305,96.41483667814155
21_low_sorties,C,2,2,2,7,467.0,66.71428571428571,32.89893776478487,4.044771069053086,88.51410297215969
20_repacked,A,4,4,4,5,85.0,17.0,12.404819801952762,2.7912766096781754,30.13705215811824
20_repacked,B,2,2,2,8,186.0,23.25,20.31911213804141,4.405805729578305,95.13782805362773
20_repacked,C,2,2,2,7,487.0,69.57142857142857,33.5506524914052,4.0997710690530855,88.52939484105268
19_best_delivery,A,4,4,4,5,89.0,17.8,14.578911771337047,3.070978196015505,32.646173314995025
19_best_delivery,B,2,2,2,7,173.0,24.714285714285715,16.995481297016664,3.76058502549557,79.95414012863513
19_best_delivery,C,2,2,2,7,496.0,70.85714285714286,34.03220612189442,4.118104402386419,87.55539210534486
19_fast,A,4,4,4,5,89.0,17.8,14.578911771337047,3.070978196015505,33.33453483536004
19_fast,B,2,2,2,7,173.0,24.714285714285715,16.995481297016664,3.76058502549557,81.64001470043814
19_fast,C,2,2,2,7,496.0,70.85714285714286,34.03220612189442,4.118104402386419,89.401543023073
19_min_energy,A,4,4,4,4,67.0,16.75,12.240661555908162,2.6011075053935744,27.547585738059873
19_min_energy,B,2,2,2,8,198.0,24.75,19.070761263235266,4.1608013412219185,88.13171423993268
19_min_energy,C,2,2,2,7,493.0,70.42857142857143,33.90608084253863,4.136437735719753,87.61565828294705
